Index Name,Date,Open,High,Low,Close,Year
NIFTY 100,2011-12-22,4496.8,4589.7,4486.6,4584.4,2011
NIFTY 100,2011-12-21,4484.6,4557.3,4458.8,4543.2,2011
NIFTY 100,2011-12-20,4500.4,4500.4,4397.4,4408.4,2011
NIFTY 100,2011-12-19,4504.5,4504.5,4429.1,4481.6,2011
NIFTY 100,2011-12-16,4624.7,4684.4,4507.2,4528.0,2011
NIFTY 100,2011-12-15,4592.8,4639.1,4551.9,4619.5,2011
NIFTY 100,2011-12-14,4661.4,4706.9,4622.1,4634.5,2011
NIFTY 100,2011-12-13,4617.3,4693.6,4608.3,4671.2,2011
NIFTY 100,2011-12-12,4775.6,4778.9,4634.4,4642.9,2011
NIFTY 100,2011-09-12,4754.1,4790.9,4720.1,4742.5,2011
NIFTY 100,2011-08-12,4904.4,4913.8,4793.2,4814.3,2011
NIFTY 100,2011-07-12,4916.1,4960.6,4904.4,4925.2,2011
NIFTY 100,2011-05-12,4903.6,4921.7,4873.1,4907.1,2011
NIFTY 100,2011-02-12,4805.7,4925.1,4787.1,4914.8,2011
NIFTY 100,2011-01-12,4823.9,4872.8,4782.7,4802.3,2011
NIFTY 100,2011-11-30,4659.1,4726.8,4646.1,4709.3,2011
NIFTY 100,2011-11-29,4749.8,4754.1,4676.9,4691.2,2011
NIFTY 100,2011-11-28,4657.3,4745.5,4657.3,4739.1,2011
NIFTY 100,2011-11-25,4623.7,4661.8,4591.6,4608.3,2011
NIFTY 100,2011-11-24,4593.5,4654.9,4528.8,4644.4,2011
NIFTY 100,2011-11-23,4667.3,4667.3,4537.5,4592.6,2011
NIFTY 100,2011-11-22,4678.5,4733.5,4666.4,4694.4,2011
NIFTY 100,2011-11-21,4757.9,4757.9,4652.6,4664.9,2011
NIFTY 100,2011-11-18,4782.4,4792.9,4720.6,4784.4,2011
NIFTY 100,2011-11-17,4899.5,4907.1,4798.3,4811.8,2011
NIFTY 100,2011-11-16,4929.6,4932.5,4861.6,4902.2,2011
NIFTY 100,2011-11-15,5012.9,5034.7,4924.7,4937.3,2011
NIFTY 100,2011-11-14,5089.5,5105.2,5020.3,5027.0,2011
NIFTY 100,2011-11-11,5051.9,5084.4,5027.7,5049.8,2011
NIFTY 100,2011-09-11,5186.9,5193.9,5094.1,5102.5,2011
NIFTY 100,2011-08-11,5175.9,5187.7,5137.5,5170.1,2011
NIFTY 100,2011-04-11,5195.0,5206.1,5143.2,5169.2,2011
NIFTY 100,2011-03-11,5120.0,5159.2,5086.9,5145.8,2011
NIFTY 100,2011-02-11,5098.6,5170.5,5096.2,5133.9,2011
NIFTY 100,2011-01-11,5153.7,5181.5,5113.1,5132.7,2011
NIFTY 100,2011-10-31,5215.9,5220.3,5178.5,5193.4,2011
NIFTY 100,2011-10-28,5183.9,5231.5,5181.5,5217.5,2011
NIFTY 100,2011-10-26,5073.6,5083.6,5063.8,5068.3,2011
NIFTY 100,2011-10-25,5007.0,5070.7,4959.8,5054.3,2011
NIFTY 100,2011-10-24,4989.8,5023.4,4962.5,4974.4,2011
NIFTY 100,2011-10-21,4991.1,5006.4,4925.9,4936.4,2011
NIFTY 100,2011-10-20,4981.5,4985.0,4928.3,4979.0,2011
NIFTY 100,2011-10-19,4969.6,5032.5,4969.6,5024.9,2011
NIFTY 100,2011-10-18,4953.7,4953.7,4910.4,4934.1,2011
NIFTY 100,2011-10-17,5041.1,5046.6,4980.6,5010.4,2011
NIFTY 100,2011-10-14,4959.4,5029.2,4957.3,5021.3,2011
NIFTY 100,2011-10-13,5018.0,5029.0,4967.1,4976.4,2011
NIFTY 100,2011-12-10,4906.2,5000.7,4898.4,4992.1,2011
NIFTY 100,2011-11-10,4907.7,4937.8,4866.2,4875.8,2011
NIFTY 100,2011-10-10,4789.1,4883.2,4783.1,4874.4,2011
NIFTY 100,2011-07-10,4775.9,4824.8,4766.6,4790.0,2011
NIFTY 100,2011-05-10,4704.1,4734.8,4656.1,4665.8,2011
NIFTY 100,2011-04-10,4744.3,4788.2,4652.1,4688.1,2011
NIFTY 100,2011-03-10,4803.1,4803.1,4745.1,4766.1,2011
NIFTY 100,2011-09-30,4906.5,4939.2,4842.2,4860.1,2011
NIFTY 100,2011-09-29,4849.5,4941.5,4828.3,4927.1,2011
NIFTY 100,2011-09-28,4921.1,4921.1,4843.8,4867.5,2011
NIFTY 100,2011-09-27,4824.1,4903.3,4824.1,4892.4,2011
NIFTY 100,2011-09-26,4813.0,4813.0,4694.3,4765.6,2011
NIFTY 100,2011-09-23,4814.4,4863.9,4768.4,4804.2,2011
NIFTY 100,2011-09-22,4990.6,4990.6,4843.2,4855.9,2011
NIFTY 100,2011-09-21,5065.8,5084.5,5033.5,5056.1,2011
NIFTY 100,2011-09-20,4965.6,5062.1,4960.5,5054.0,2011
NIFTY 100,2011-09-19,4990.7,4990.7,4945.6,4956.7,2011
NIFTY 100,2011-09-16,5035.1,5055.2,4988.4,5004.1,2011
NIFTY 100,2011-09-15,4972.6,5009.1,4897.6,4995.4,2011
NIFTY 100,2011-09-14,4887.4,4943.3,4846.7,4931.1,2011
NIFTY 100,2011-09-13,4899.2,4954.6,4840.3,4867.2,2011
NIFTY 100,2011-12-09,4922.3,4922.3,4843.6,4873.4,2011
NIFTY 100,2011-09-09,5081.6,5088.5,4976.4,4986.4,2011
NIFTY 100,2011-08-09,5062.8,5091.1,5027.7,5074.6,2011
NIFTY 100,2011-07-09,4999.8,5076.5,4999.8,5050.8,2011
NIFTY 100,2011-06-09,4927.8,4993.1,4879.5,4986.5,2011
NIFTY 100,2011-05-09,4928.8,4959.5,4901.1,4947.6,2011
NIFTY 100,2011-02-09,5011.7,5011.7,4921.9,4963.4,2011
NIFTY 100,2011-08-30,4889.7,4934.6,4852.8,4921.2,2011
NIFTY 100,2011-08-29,4730.0,4857.5,4730.0,4844.8,2011
NIFTY 100,2011-08-26,4774.7,4804.7,4657.1,4681.4,2011
NIFTY 100,2011-08-25,4846.3,4847.4,4761.9,4774.6,2011
NIFTY 100,2011-08-24,4868.9,4900.0,4812.3,4825.1,2011
NIFTY 100,2011-08-23,4857.0,4896.1,4800.6,4881.8,2011
NIFTY 100,2011-08-22,4782.2,4841.9,4747.5,4835.3,2011
NIFTY 100,2011-08-19,4800.1,4825.6,4731.1,4783.5,2011
NIFTY 100,2011-08-18,4998.9,5001.5,4858.6,4870.6,2011
NIFTY 100,2011-08-17,4965.5,5034.9,4947.4,4980.8,2011
NIFTY 100,2011-08-16,5053.4,5063.8,4950.9,4969.7,2011
NIFTY 100,2011-12-08,5116.9,5116.9,4993.8,5009.2,2011
NIFTY 100,2011-11-08,5065.9,5113.9,5059.8,5070.3,2011
NIFTY 100,2011-10-08,5107.1,5114.3,5058.0,5093.2,2011
NIFTY 100,2011-09-08,4911.0,5092.7,4892.9,5003.9,2011
NIFTY 100,2011-08-08,5032.4,5129.8,4987.2,5052.5,2011
NIFTY 100,2011-05-08,5146.2,5149.2,5044.4,5139.0,2011
NIFTY 100,2011-04-08,5320.2,5349.8,5243.5,5250.8,2011
NIFTY 100,2011-03-08,5316.3,5325.9,5286.4,5314.0,2011
NIFTY 100,2011-02-08,5398.2,5398.2,5339.2,5361.0,2011
NIFTY 100,2011-01-08,5428.6,5457.7,5390.5,5417.6,2011
NIFTY 100,2011-07-29,5405.8,5441.5,5378.8,5391.3,2011
NIFTY 100,2011-07-28,5425.9,5437.3,5402.2,5413.0,2011
NIFTY 100,2011-07-27,5504.4,5509.0,5445.0,5470.5,2011
NIFTY 100,2011-07-26,5595.3,5609.1,5479.0,5493.1,2011
NIFTY 100,2011-07-25,5546.0,5605.3,5529.8,5588.6,2011
NIFTY 100,2011-07-22,5488.0,5552.6,5483.1,5546.1,2011
NIFTY 100,2011-07-21,5478.9,5497.2,5451.4,5459.0,2011
NIFTY 100,2011-07-20,5564.0,5570.4,5480.1,5489.1,2011
NIFTY 100,2011-07-19,5504.6,5556.3,5493.9,5540.6,2011
NIFTY 100,2011-07-18,5512.4,5530.6,5488.3,5502.4,2011
NIFTY 100,2011-07-15,5529.8,5558.5,5494.4,5511.9,2011
NIFTY 100,2011-07-14,5493.1,5574.9,5470.0,5527.2,2011
NIFTY 100,2011-07-13,5460.9,5516.0,5460.9,5506.6,2011
NIFTY 100,2011-12-07,5482.9,5501.6,5420.7,5447.9,2011
NIFTY 100,2011-11-07,5564.1,5565.1,5517.4,5531.5,2011
NIFTY 100,2011-08-07,5650.4,5652.6,5566.0,5574.4,2011
NIFTY 100,2011-07-07,5556.9,5651.3,5556.9,5645.7,2011
NIFTY 100,2011-06-07,5546.6,5576.7,5536.6,5550.3,2011
NIFTY 100,2011-05-07,5578.7,5578.7,5536.1,5554.3,2011
NIFTY 100,2011-04-07,5584.6,5590.0,5553.8,5571.0,2011
NIFTY 100,2011-01-07,5601.4,5601.4,5523.7,5541.6,2011
NIFTY 100,2011-06-30,5523.7,5562.3,5518.1,5553.5,2011
NIFTY 100,2011-06-29,5482.5,5517.7,5482.5,5512.2,2011
NIFTY 100,2011-06-28,5469.5,5483.0,5424.8,5465.1,2011
NIFTY 100,2011-06-27,5364.7,5471.4,5360.4,5451.3,2011
NIFTY 100,2011-06-24,5265.9,5394.7,5265.9,5389.4,2011
NIFTY 100,2011-06-23,5203.4,5255.7,5181.2,5246.7,2011
NIFTY 100,2011-06-22,5238.8,5248.3,5195.8,5210.9,2011
NIFTY 100,2011-06-21,5221.6,5261.8,5200.4,5215.2,2011
NIFTY 100,2011-06-20,5312.8,5320.2,5145.5,5202.8,2011
NIFTY 100,2011-06-17,5352.1,5360.8,5298.8,5308.0,2011
NIFTY 100,2011-06-16,5366.3,5386.4,5332.9,5339.2,2011
NIFTY 100,2011-06-15,5436.4,5439.5,5382.4,5389.1,2011
NIFTY 100,2011-06-14,5425.5,5461.0,5425.5,5441.3,2011
NIFTY 100,2011-06-13,5411.5,5432.4,5376.2,5423.2,2011
NIFTY 100,2011-10-06,5456.2,5459.4,5397.8,5424.5,2011
NIFTY 100,2011-09-06,5463.1,5478.0,5441.8,5458.6,2011
NIFTY 100,2011-08-06,5473.7,5494.4,5454.6,5465.8,2011
NIFTY 100,2011-07-06,5445.6,5501.5,5445.6,5490.9,2011
NIFTY 100,2011-06-06,5442.2,5473.8,5417.0,5464.3,2011
NIFTY 100,2011-03-06,5498.6,5538.3,5443.8,5452.4,2011
NIFTY 100,2011-02-06,5478.4,5503.1,5464.5,5486.0,2011
NIFTY 100,2011-01-06,5499.8,5534.2,5499.0,5529.5,2011
NIFTY 100,2011-05-31,5426.6,5508.4,5426.6,5499.1,2011
NIFTY 100,2011-05-30,5420.6,5440.2,5396.4,5411.1,2011
NIFTY 100,2011-05-27,5344.1,5412.3,5344.1,5406.1,2011
NIFTY 100,2011-05-26,5307.2,5349.5,5297.0,5343.0,2011
NIFTY 100,2011-05-25,5320.9,5320.9,5269.7,5287.6,2011
NIFTY 100,2011-05-24,5310.1,5346.8,5297.9,5325.7,2011
NIFTY 100,2011-05-23,5378.1,5378.1,5299.3,5311.3,2011
NIFTY 100,2011-05-20,5368.3,5431.4,5354.9,5402.5,2011
NIFTY 100,2011-05-19,5370.0,5374.2,5335.9,5349.8,2011
NIFTY 100,2011-05-18,5380.1,5391.3,5331.0,5347.4,2011
NIFTY 100,2011-05-17,5422.2,5452.8,5355.3,5372.5,2011
NIFTY 100,2011-05-16,5462.9,5462.9,5413.9,5424.6,2011
NIFTY 100,2011-05-13,5412.5,5518.2,5395.0,5465.5,2011
NIFTY 100,2011-12-05,5454.0,5488.3,5399.4,5407.4,2011
NIFTY 100,2011-11-05,5456.3,5484.9,5439.0,5476.4,2011
NIFTY 100,2011-10-05,5464.2,5497.6,5427.5,5451.5,2011
NIFTY 100,2011-09-05,5475.0,5486.5,5412.5,5460.6,2011
NIFTY 100,2011-06-05,5377.0,5465.4,5377.0,5455.4,2011
NIFTY 100,2011-05-05,5431.7,5461.5,5347.6,5362.4,2011
NIFTY 100,2011-04-05,5468.4,5475.1,5403.8,5436.3,2011
NIFTY 100,2011-03-05,5588.4,5610.7,5456.6,5466.4,2011
NIFTY 100,2011-02-05,5663.6,5674.5,5584.4,5597.9,2011
NIFTY 100,2011-04-29,5688.1,5706.8,5610.3,5649.3,2011
NIFTY 100,2011-04-28,5751.0,5758.6,5683.2,5690.6,2011
NIFTY 100,2011-04-27,5774.8,5785.0,5723.0,5736.7,2011
NIFTY 100,2011-04-26,5769.8,5782.4,5692.1,5761.8,2011
NIFTY 100,2011-04-25,5752.5,5795.5,5752.5,5767.9,2011
NIFTY 100,2011-04-21,5777.2,5803.9,5757.2,5773.1,2011
NIFTY 100,2011-04-20,5688.3,5755.8,5667.8,5751.6,2011
NIFTY 100,2011-04-19,5629.2,5667.5,5605.2,5650.7,2011
NIFTY 100,2011-04-18,5729.2,5797.9,5633.8,5640.1,2011
NIFTY 100,2011-04-15,5791.9,5799.2,5709.4,5729.4,2011
NIFTY 100,2011-04-13,5652.8,5812.0,5640.8,5802.5,2011
NIFTY 100,2011-11-04,5708.7,5726.7,5677.7,5684.1,2011
NIFTY 100,2011-08-04,5789.4,5813.5,5719.6,5739.1,2011
NIFTY 100,2011-07-04,5784.9,5806.9,5768.4,5788.5,2011
NIFTY 100,2011-06-04,5800.0,5835.9,5765.7,5787.6,2011
NIFTY 100,2011-05-04,5803.2,5811.9,5748.3,5801.8,2011
NIFTY 100,2011-04-04,5724.9,5799.9,5722.6,5790.4,2011
NIFTY 100,2011-01-04,5712.8,5735.8,5695.3,5711.7,2011
NIFTY 100,2011-03-31,5685.8,5744.3,5660.7,5711.7,2011
NIFTY 100,2011-03-30,5631.8,5686.7,5631.8,5673.0,2011
NIFTY 100,2011-03-29,5570.1,5645.1,5570.1,5615.7,2011
NIFTY 100,2011-03-28,5529.3,5588.6,5529.3,5570.8,2011
NIFTY 100,2011-03-25,5472.0,5546.9,5452.6,5536.8,2011
NIFTY 100,2011-03-24,5394.4,5422.6,5392.5,5417.0,2011
